,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,power,gpxtpx_TrackPointExtension,geometry
0,0,0,0,100.8,2023-08-12 14:01:10+00:00,,,,,,,,,,,,,,,,,,,,,,268.0,      <gpxtpx:atemp>26</gpxtpx:atemp>      <gpxtpx:cad>78</gpxtpx:cad>     ,POINT (-70.251932 43.902624)
1,0,0,1,105.4,2023-08-12 14:01:11+00:00,,,,,,,,,,,,,,,,,,,,,,202.0,      <gpxtpx:atemp>26</gpxtpx:atemp>      <gpxtpx:cad>77</gpxtpx:cad>     ,POINT (-70.25196699999999 43.90264)
2,0,0,2,106.0,2023-08-12 14:01:12+00:00,,,,,,,,,,,,,,,,,,,,,,109.0,      <gpxtpx:atemp>26</gpxtpx:atemp>      <gpxtpx:cad>79</gpxtpx:cad>     ,POINT (-70.251999 43.902657)
3,0,0,3,106.0,2023-08-12 14:01:13+00:00,,,,,,,,,,,,,,,,,,,,,,132.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>79</gpxtpx:cad>     ,POINT (-70.252027 43.902681)
4,0,0,4,106.0,2023-08-12 14:01:14+00:00,,,,,,,,,,,,,,,,,,,,,,132.0,      <gpxtpx:atemp>26</gpxtpx:atemp>      <gpxtpx:cad>42</gpxtpx:cad>     ,POINT (-70.25205200000001 43.902708)
5,0,0,5,105.6,2023-08-12 14:01:15+00:00,,,,,,,,,,,,,,,,,,,,,,344.0,      <gpxtpx:atemp>26</gpxtpx:atemp>      <gpxtpx:cad>68</gpxtpx:cad>     ,POINT (-70.252064 43.902737)
6,0,0,6,106.0,2023-08-12 14:01:16+00:00,,,,,,,,,,,,,,,,,,,,,,476.0,      <gpxtpx:atemp>26</gpxtpx:atemp>      <gpxtpx:cad>74</gpxtpx:cad>     ,POINT (-70.25206300000001 43.902769)
7,0,0,7,106.6,2023-08-12 14:01:17+00:00,,,,,,,,,,,,,,,,,,,,,,517.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>85</gpxtpx:cad>     ,POINT (-70.252049 43.902805)
8,0,0,8,106.6,2023-08-12 14:01:18+00:00,,,,,,,,,,,,,,,,,,,,,,486.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>87</gpxtpx:cad>     ,POINT (-70.252026 43.902843)
9,0,0,9,106.8,2023-08-12 14:01:19+00:00,,,,,,,,,,,,,,,,,,,,,,457.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>88</gpxtpx:cad>     ,POINT (-70.25200100000001 43.90288)
10,0,0,10,107.2,2023-08-12 14:01:20+00:00,,,,,,,,,,,,,,,,,,,,,,372.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>90</gpxtpx:cad>     ,POINT (-70.251974 43.90292)
11,0,0,11,107.4,2023-08-12 14:01:21+00:00,,,,,,,,,,,,,,,,,,,,,,425.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>81</gpxtpx:cad>     ,POINT (-70.251949 43.902962)
12,0,0,12,107.2,2023-08-12 14:01:22+00:00,,,,,,,,,,,,,,,,,,,,,,397.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>81</gpxtpx:cad>     ,POINT (-70.251926 43.902996)
13,0,0,13,107.2,2023-08-12 14:01:23+00:00,,,,,,,,,,,,,,,,,,,,,,268.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>83</gpxtpx:cad>     ,POINT (-70.251896 43.903051)
14,0,0,14,107.2,2023-08-12 14:01:24+00:00,,,,,,,,,,,,,,,,,,,,,,199.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>83</gpxtpx:cad>     ,POINT (-70.251874 43.903097)
15,0,0,15,107.2,2023-08-12 14:01:25+00:00,,,,,,,,,,,,,,,,,,,,,,240.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>82</gpxtpx:cad>     ,POINT (-70.251846 43.903143)
16,0,0,16,107.4,2023-08-12 14:01:26+00:00,,,,,,,,,,,,,,,,,,,,,,242.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>82</gpxtpx:cad>     ,POINT (-70.251817 43.903187)
17,0,0,17,107.6,2023-08-12 14:01:27+00:00,,,,,,,,,,,,,,,,,,,,,,212.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>80</gpxtpx:cad>     ,POINT (-70.251788 43.90323)
18,0,0,18,107.8,2023-08-12 14:01:28+00:00,,,,,,,,,,,,,,,,,,,,,,246.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>79</gpxtpx:cad>     ,POINT (-70.251758 43.903273)
19,0,0,19,108.0,2023-08-12 14:01:29+00:00,,,,,,,,,,,,,,,,,,,,,,231.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>80</gpxtpx:cad>     ,POINT (-70.251727 43.903317)
20,0,0,20,108.2,2023-08-12 14:01:30+00:00,,,,,,,,,,,,,,,,,,,,,,290.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>81</gpxtpx:cad>     ,POINT (-70.251695 43.90336)
21,0,0,21,108.6,2023-08-12 14:01:31+00:00,,,,,,,,,,,,,,,,,,,,,,247.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>83</gpxtpx:cad>     ,POINT (-70.25165800000001 43.903405)
22,0,0,22,108.6,2023-08-12 14:01:32+00:00,,,,,,,,,,,,,,,,,,,,,,212.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>83</gpxtpx:cad>     ,POINT (-70.251621 43.903451)
23,0,0,23,108.8,2023-08-12 14:01:33+00:00,,,,,,,,,,,,,,,,,,,,,,240.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>82</gpxtpx:cad>     ,POINT (-70.251591 43.903496)
24,0,0,24,109.2,2023-08-12 14:01:34+00:00,,,,,,,,,,,,,,,,,,,,,,214.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>82</gpxtpx:cad>     ,POINT (-70.251565 43.903541)
25,0,0,25,109.2,2023-08-12 14:01:35+00:00,,,,,,,,,,,,,,,,,,,,,,260.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>82</gpxtpx:cad>     ,POINT (-70.251538 43.903587)
26,0,0,26,109.4,2023-08-12 14:01:36+00:00,,,,,,,,,,,,,,,,,,,,,,304.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>82</gpxtpx:cad>     ,POINT (-70.251519 43.903621)
27,0,0,27,109.8,2023-08-12 14:01:37+00:00,,,,,,,,,,,,,,,,,,,,,,284.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>84</gpxtpx:cad>     ,POINT (-70.251491 43.903666)
28,0,0,28,110.0,2023-08-12 14:01:38+00:00,,,,,,,,,,,,,,,,,,,,,,303.0,      <gpxtpx:atemp>27</gpxtpx:atemp>      <gpxtpx:cad>86</gpxtpx:cad>     ,POINT (-70.251456 43.903722)
